,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1610612751,0021801221,"APR 10, 2019",BKN vs. MIA,W,42,40,0.512,240,43,114,0.377,21,58,0.362,6,7,0.857,20,48,68,29,7,3,12,13,113
1,1610612751,0021801199,"APR 07, 2019",BKN @ IND,W,41,40,0.506,240,40,88,0.455,11,36,0.306,17,22,0.773,17,35,52,23,7,4,15,13,108
2,1610612751,0021801193,"APR 06, 2019",BKN @ MIL,W,40,40,0.5,240,48,97,0.495,19,45,0.422,18,23,0.783,12,31,43,25,7,0,10,19,133
3,1610612751,0021801169,"APR 03, 2019",BKN vs. TOR,L,39,40,0.494,240,41,86,0.477,10,32,0.313,13,21,0.619,9,44,53,23,3,2,14,19,105
4,1610612751,0021801154,"APR 01, 2019",BKN vs. MIL,L,39,39,0.5,240,39,94,0.415,16,44,0.364,27,34,0.794,16,39,55,19,6,5,23,26,121
5,1610612751,0021801137,"MAR 30, 2019",BKN vs. BOS,W,39,38,0.506,240,38,83,0.458,12,38,0.316,22,28,0.786,5,35,40,22,7,2,12,17,110
6,1610612751,0021801123,"MAR 28, 2019",BKN @ PHI,L,38,38,0.5,240,40,90,0.444,11,32,0.344,19,29,0.655,11,34,45,25,4,3,15,22,110
7,1610612751,0021801106,"MAR 25, 2019",BKN @ POR,L,38,37,0.507,290,49,103,0.476,15,42,0.357,31,44,0.705,15,44,59,25,3,4,16,31,144
8,1610612751,0021801086,"MAR 22, 2019",BKN @ LAL,W,38,36,0.514,240,37,92,0.402,16,42,0.381,21,28,0.75,11,36,47,21,8,4,13,25,111
9,1610612751,0021801063,"MAR 19, 2019",BKN @ SAC,W,37,36,0.507,240,47,94,0.5,12,35,0.343,17,23,0.739,11,30,41,28,16,4,18,19,123
10,1610612751,0021801049,"MAR 17, 2019",BKN @ LAC,L,36,36,0.5,240,42,100,0.42,14,38,0.368,18,25,0.72,15,36,51,26,6,7,14,28,116
11,1610612751,0021801041,"MAR 16, 2019",BKN @ UTA,L,36,35,0.507,240,33,95,0.347,12,36,0.333,20,22,0.909,8,36,44,20,9,5,7,24,98
12,1610612751,0021801017,"MAR 13, 2019",BKN @ OKC,L,36,34,0.514,240,35,84,0.417,13,35,0.371,13,19,0.684,7,36,43,19,7,5,16,18,96
