,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1610612749,0021801226,"APR 10, 2019",MIL vs. OKC,L,60,22,0.732,240,43,100,0.43,15,46,0.326,15,21,0.714,11,42,53,27,7,1,14,14,116
1,1610612749,0021801202,"APR 07, 2019",MIL vs. ATL,W,60,21,0.741,240,40,91,0.44,9,41,0.22,26,34,0.765,11,50,61,19,8,10,14,23,115
2,1610612749,0021801193,"APR 06, 2019",MIL vs. BKN,L,59,21,0.738,240,49,88,0.557,16,34,0.471,14,21,0.667,6,37,43,28,7,4,14,18,128
3,1610612749,0021801177,"APR 04, 2019",MIL @ PHI,W,59,20,0.747,240,42,93,0.452,12,34,0.353,32,43,0.744,8,42,50,26,5,6,10,18,128
4,1610612749,0021801154,"APR 01, 2019",MIL @ BKN,W,58,20,0.744,240,47,94,0.5,11,34,0.324,26,30,0.867,6,34,40,28,15,7,14,26,131
5,1610612749,0021801145,"MAR 31, 2019",MIL @ ATL,L,57,20,0.74,265,48,116,0.414,17,55,0.309,22,23,0.957,22,49,71,30,6,3,16,20,135
6,1610612749,0021801127,"MAR 28, 2019",MIL vs. LAC,W,57,19,0.75,240,45,86,0.523,16,37,0.432,22,27,0.815,3,44,47,25,5,5,8,21,128
7,1610612749,0021801111,"MAR 26, 2019",MIL vs. HOU,W,56,19,0.747,240,42,94,0.447,14,34,0.412,10,13,0.769,10,50,60,24,10,6,15,11,108
8,1610612749,0021801096,"MAR 24, 2019",MIL vs. CLE,W,55,19,0.743,240,48,87,0.552,15,41,0.366,16,21,0.762,4,41,45,26,8,7,9,13,127
9,1610612749,0021801085,"MAR 22, 2019",MIL vs. MIA,W,54,19,0.74,240,43,85,0.506,17,34,0.5,13,20,0.65,9,43,52,33,5,5,14,23,116
