,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1610612759,0021801227,"APR 10, 2019",SAS vs. DAL,W,48,34,0.585,240,41,88,0.466,8,24,0.333,15,18,0.833,8,45,53,22,6,2,10,14,105
1,1610612759,0021801196,"APR 07, 2019",SAS @ CLE,W,47,34,0.58,240,43,82,0.524,9,22,0.409,17,22,0.773,11,38,49,27,10,5,18,18,112
2,1610612759,0021801182,"APR 05, 2019",SAS @ WAS,W,46,34,0.575,240,51,91,0.56,10,25,0.4,17,20,0.85,12,30,42,34,3,4,9,18,129
3,1610612759,0021801173,"APR 03, 2019",SAS @ DEN,L,45,34,0.57,240,31,81,0.383,5,27,0.185,18,25,0.72,11,27,38,15,9,7,11,14,85
4,1610612759,0021801162,"APR 02, 2019",SAS vs. ATL,W,45,33,0.577,240,42,80,0.525,14,30,0.467,19,22,0.864,4,41,45,23,6,6,16,17,117
5,1610612759,0021801149,"MAR 31, 2019",SAS vs. SAC,L,44,33,0.571,240,44,94,0.468,8,27,0.296,10,14,0.714,15,27,42,24,7,3,11,22,106
6,1610612759,0021801129,"MAR 28, 2019",SAS vs. CLE,W,44,32,0.579,240,45,85,0.529,14,33,0.424,12,17,0.706,4,29,33,27,8,6,11,14,116
7,1610612759,0021801107,"MAR 26, 2019",SAS @ CHA,L,43,32,0.573,265,44,108,0.407,13,39,0.333,15,21,0.714,17,43,60,24,4,5,12,21,116
8,1610612759,0021801100,"MAR 24, 2019",SAS @ BOS,W,43,31,0.581,240,50,98,0.51,8,24,0.333,7,8,0.875,11,40,51,32,1,4,8,19,115
9,1610612759,0021801084,"MAR 22, 2019",SAS @ HOU,L,42,31,0.575,240,41,90,0.456,7,24,0.292,16,17,0.941,9,39,48,27,6,7,11,23,105
10,1610612759,0021801071,"MAR 20, 2019",SAS vs. MIA,L,42,30,0.583,240,38,88,0.432,14,34,0.412,15,21,0.714,10,36,46,30,2,3,8,13,105
11,1610612759,0021801055,"MAR 18, 2019",SAS vs. GSW,W,42,29,0.592,240,41,88,0.466,10,26,0.385,19,22,0.864,10,36,46,20,7,5,10,12,111
12,1610612759,0021801039,"MAR 16, 2019",SAS vs. POR,W,41,29,0.586,240,37,79,0.468,8,17,0.471,26,30,0.867,4,40,44,17,4,10,10,14,108
13,1610612759,0021801032,"MAR 15, 2019",SAS vs. NYK,W,40,29,0.58,240,47,88,0.534,7,21,0.333,8,10,0.8,6,39,45,31,8,6,9,13,109
14,1610612759,0021801011,"MAR 12, 2019",SAS @ DAL,W,39,29,0.574,240,43,82,0.524,8,22,0.364,18,18,1.0,7,31,38,26,11,3,12,25,112
15,1610612759,0021800999,"MAR 10, 2019",SAS vs. MIL,W,38,29,0.567,240,49,100,0.49,12,29,0.414,11,15,0.733,8,38,46,24,6,3,4,18,121
16,1610612759,0021800968,"MAR 06, 2019",SAS @ ATL,W,37,29,0.561,240,44,89,0.494,10,33,0.303,13,18,0.722,6,43,49,27,4,9,16,23,111
17,1610612759,0021800954,"MAR 04, 2019",SAS vs. DEN,W,36,29,0.554,240,41,85,0.482,8,25,0.32,14,19,0.737,6,37,43,27,8,7,9,13,104
18,1610612759,0021800940,"MAR 02, 2019",SAS vs. OKC,W,35,29,0.547,240,45,91,0.495,8,19,0.421,18,25,0.72,11,38,49,15,8,6,11,19,116
19,1610612759,0021800917,"FEB 27, 2019",SAS vs. DET,W,34,29,0.54,240,42,81,0.519,9,17,0.529,12,17,0.706,7,48,55,24,3,7,10,11,105
20,1610612759,0021800900,"FEB 25, 2019",SAS @ BKN,L,33,29,0.532,240,35,96,0.365,4,24,0.167,11,12,0.917,10,37,47,14,6,6,11,13,85
21,1610612759,0021800896,"FEB 24, 2019",SAS @ NYK,L,33,28,0.541,240,42,94,0.447,6,24,0.25,28,31,0.903,14,36,50,18,3,4,7,20,118
22,1610612759,0021800876,"FEB 22, 2019",SAS @ TOR,L,33,27,0.55,240,43,89,0.483,12,37,0.324,19,22,0.864,9,39,48,27,7,6,14,22,117
23,1610612759,0021800850,"FEB 12, 2019",SAS @ MEM,W,33,26,0.559,240,36,86,0.419,13,21,0.619,23,29,0.793,10,33,43,23,6,5,7,14,108
24,1610612759,0021800825,"FEB 09, 2019",SAS @ UTA,L,32,26,0.552,240,40,89,0.449,7,22,0.318,18,20,0.9,5,31,36,24,7,3,9,17,105
25,1610612759,0021800816,"FEB 07, 2019",SAS @ POR,L,32,25,0.561,240,48,91,0.527,12,21,0.571,10,14,0.714,10,33,43,19,3,3,18,16,118
26,1610612759,0021800810,"FEB 06, 2019",SAS @ GSW,L,32,24,0.571,240,35,81,0.432,12,32,0.375,20,21,0.952,4,26,30,24,6,5,18,19,102
27,1610612759,0021800795,"FEB 04, 2019",SAS @ SAC,L,32,23,0.582,240,42,98,0.429,9,32,0.281,19,21,0.905,15,31,46,18,6,3,8,20,112
28,1610612759,0021800779,"FEB 02, 2019",SAS vs. NOP,W,32,22,0.593,240,44,92,0.478,9,23,0.391,16,18,0.889,10,40,50,29,5,2,11,16,113
29,1610612759,0021800767,"JAN 31, 2019",SAS vs. BKN,W,31,22,0.585,240,40,100,0.4,12,33,0.364,25,29,0.862,13,37,50,23,6,3,9,21,117
30,1610612759,0021800754,"JAN 29, 2019",SAS vs. PHX,W,30,22,0.577,240,47,100,0.47,15,34,0.441,17,20,0.85,14,22,36,29,9,4,11,15,126
31,1610612759,0021800742,"JAN 27, 2019",SAS vs. WAS,W,29,22,0.569,240,49,86,0.57,16,34,0.471,18,21,0.857,7,42,49,31,6,4,15,20,132
32,1610612759,0021800730,"JAN 26, 2019",SAS @ NOP,W,28,22,0.56,240,47,91,0.516,11,24,0.458,21,25,0.84,9,42,51,30,5,3,9,19,126
33,1610612759,0021800711,"JAN 23, 2019",SAS @ PHI,L,27,22,0.551,240,47,82,0.573,13,27,0.481,13,15,0.867,5,31,36,24,8,6,15,15,120
34,1610612759,0021800690,"JAN 20, 2019",SAS vs. LAC,L,27,21,0.563,240,39,84,0.464,8,19,0.421,9,17,0.529,10,41,51,21,6,8,18,25,95
35,1610612759,0021800674,"JAN 18, 2019",SAS @ MIN,W,27,20,0.574,240,41,82,0.5,11,24,0.458,23,29,0.793,9,32,41,24,3,4,16,25,116
36,1610612759,0021800661,"JAN 16, 2019",SAS @ DAL,W,26,20,0.565,240,41,83,0.494,13,30,0.433,10,12,0.833,11,25,36,26,9,6,9,19,105
37,1610612759,0021800647,"JAN 14, 2019",SAS vs. CHA,L,25,20,0.556,240,38,82,0.463,7,20,0.35,10,12,0.833,3,33,36,21,4,6,12,15,93
38,1610612759,0021800634,"JAN 12, 2019",SAS @ OKC,L,25,19,0.568,240,44,96,0.458,10,31,0.323,14,20,0.7,13,39,52,21,5,7,14,18,112
39,1610612759,0021800619,"JAN 10, 2019",SAS vs. OKC,W,25,18,0.581,290,56,99,0.566,16,19,0.842,26,29,0.897,5,38,43,38,8,10,17,25,154
40,1610612759,0021800611,"JAN 09, 2019",SAS @ MEM,L,24,18,0.571,240,30,83,0.361,11,27,0.407,15,23,0.652,8,45,53,14,4,2,13,19,86
41,1610612759,0021800591,"JAN 07, 2019",SAS @ DET,W,24,17,0.585,240,43,79,0.544,7,20,0.35,26,32,0.813,9,29,38,24,5,5,9,15,119
42,1610612759,0021800581,"JAN 05, 2019",SAS vs. MEM,W,23,17,0.575,240,36,73,0.493,7,22,0.318,29,35,0.829,3,40,43,26,10,3,15,19,108
43,1610612759,0021800563,"JAN 03, 2019",SAS vs. TOR,W,22,17,0.564,240,47,85,0.553,13,27,0.481,18,20,0.9,8,36,44,32,7,0,12,19,125
44,1610612759,0021800545,"DEC 31, 2018",SAS vs. BOS,W,21,17,0.553,240,45,91,0.495,14,26,0.538,16,18,0.889,8,35,43,27,6,4,11,17,120
45,1610612759,0021800535,"DEC 29, 2018",SAS @ LAC,W,20,17,0.541,240,44,87,0.506,6,23,0.261,28,31,0.903,8,41,49,27,10,4,15,25,122
46,1610612759,0021800524,"DEC 28, 2018",SAS @ DEN,L,19,17,0.528,240,40,89,0.449,8,27,0.296,11,20,0.55,12,26,38,23,14,3,10,19,99
47,1610612759,0021800510,"DEC 26, 2018",SAS vs. DEN,W,19,16,0.543,240,42,90,0.467,10,32,0.313,17,22,0.773,7,43,50,29,6,4,10,17,111
48,1610612759,0021800483,"DEC 22, 2018",SAS @ HOU,L,18,16,0.529,240,42,88,0.477,10,24,0.417,7,11,0.636,5,38,43,24,3,9,9,17,101
49,1610612759,0021800475,"DEC 21, 2018",SAS vs. MIN,W,18,15,0.545,240,46,87,0.529,19,33,0.576,13,18,0.722,11,39,50,36,7,3,16,22,124
50,1610612759,0021800456,"DEC 19, 2018",SAS @ ORL,W,17,15,0.531,240,50,77,0.649,12,19,0.632,17,21,0.81,4,41,45,29,5,4,11,15,129
51,1610612759,0021800448,"DEC 17, 2018",SAS vs. PHI,W,16,15,0.516,240,49,87,0.563,9,23,0.391,16,17,0.941,4,41,45,28,5,9,6,14,123
52,1610612759,0021800433,"DEC 15, 2018",SAS vs. CHI,L,15,15,0.5,240,32,73,0.438,7,21,0.333,22,26,0.846,7,34,41,18,3,5,15,18,93
53,1610612759,0021800417,"DEC 13, 2018",SAS vs. LAC,W,15,14,0.517,240,48,83,0.578,10,22,0.455,19,24,0.792,8,39,47,25,10,7,11,20,125
54,1610612759,0021800403,"DEC 11, 2018",SAS vs. PHX,W,14,14,0.5,240,41,83,0.494,13,21,0.619,16,19,0.842,8,38,46,28,7,2,15,15,111
55,1610612759,0021800390,"DEC 09, 2018",SAS vs. UTA,W,13,14,0.481,240,47,89,0.528,5,14,0.357,11,12,0.917,10,36,46,26,7,7,11,15,110
56,1610612759,0021800375,"DEC 07, 2018",SAS vs. LAL,W,12,14,0.462,240,46,91,0.505,13,31,0.419,28,33,0.848,9,39,48,27,4,7,10,18,133
57,1610612759,0021800364,"DEC 05, 2018",SAS @ LAL,L,11,14,0.44,240,43,96,0.448,7,27,0.259,20,20,1.0,11,38,49,18,8,2,10,24,113
58,1610612759,0021800354,"DEC 04, 2018",SAS @ UTA,L,11,13,0.458,240,44,90,0.489,7,22,0.318,10,11,0.909,7,25,32,25,7,5,16,19,105
59,1610612759,0021800342,"DEC 02, 2018",SAS vs. POR,W,11,12,0.478,240,50,83,0.602,11,15,0.733,20,22,0.909,5,29,34,29,5,4,12,15,131
60,1610612759,0021800326,"NOV 30, 2018",SAS vs. HOU,L,10,12,0.455,240,39,86,0.453,10,28,0.357,17,20,0.85,9,32,41,24,4,4,13,18,105
61,1610612759,0021800311,"NOV 28, 2018",SAS @ MIN,L,10,11,0.476,240,34,87,0.391,8,27,0.296,13,13,1.0,12,34,46,23,1,8,18,17,89
62,1610612759,0021800297,"NOV 26, 2018",SAS @ CHI,W,10,10,0.5,240,45,93,0.484,10,30,0.333,8,9,0.889,7,39,46,29,7,2,10,16,108
63,1610612759,0021800284,"NOV 24, 2018",SAS @ MIL,L,9,10,0.474,240,49,92,0.533,10,21,0.476,21,28,0.75,9,30,39,27,8,3,10,21,129
64,1610612759,0021800272,"NOV 23, 2018",SAS @ IND,W,9,9,0.5,240,42,83,0.506,10,21,0.476,17,24,0.708,9,37,46,28,3,4,15,19,111
65,1610612759,0021800262,"NOV 21, 2018",SAS vs. MEM,L,8,9,0.471,240,35,82,0.427,7,22,0.318,26,30,0.867,10,33,43,21,4,5,8,20,103
66,1610612759,0021800246,"NOV 19, 2018",SAS @ NOP,L,8,8,0.5,240,45,94,0.479,12,24,0.5,24,30,0.8,18,26,44,22,7,0,15,20,126
