,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1610612762,0021801229,"APR 10, 2019",UTA @ LAC,L,50,32,0.61,265,47,106,0.443,14,35,0.4,29,33,0.879,17,40,57,31,8,11,17,24,137
1,1610612762,0021801217,"APR 09, 2019",UTA vs. DEN,W,50,31,0.617,240,41,78,0.526,10,27,0.37,26,34,0.765,9,39,48,24,5,5,15,21,118
2,1610612762,0021801208,"APR 07, 2019",UTA @ LAL,L,49,31,0.613,240,38,84,0.452,13,42,0.31,20,28,0.714,10,25,35,25,11,4,11,17,109
3,1610612762,0021801188,"APR 05, 2019",UTA vs. SAC,W,49,30,0.62,240,44,85,0.518,15,33,0.455,16,25,0.64,7,39,46,30,9,6,16,26,119
4,1610612762,0021801174,"APR 03, 2019",UTA @ PHX,W,48,30,0.615,240,44,77,0.571,16,32,0.5,14,18,0.778,7,38,45,30,2,9,20,16,118
5,1610612762,0021801159,"APR 01, 2019",UTA vs. CHA,W,47,30,0.61,240,38,79,0.481,15,35,0.429,20,26,0.769,5,42,47,30,7,3,17,25,111
6,1610612762,0021801134,"MAR 29, 2019",UTA vs. WAS,W,46,30,0.605,240,48,87,0.552,14,32,0.438,18,18,1.0,8,36,44,26,7,7,18,22,128
7,1610612762,0021801121,"MAR 27, 2019",UTA vs. LAL,W,45,30,0.6,240,41,83,0.494,10,32,0.313,23,36,0.639,8,46,54,33,4,5,11,18,115
8,1610612762,0021801105,"MAR 25, 2019",UTA vs. PHX,W,44,30,0.595,240,48,86,0.558,10,21,0.476,19,23,0.826,10,33,43,31,11,4,14,23,125
9,1610612762,0021801090,"MAR 23, 2019",UTA @ CHI,W,43,30,0.589,240,46,95,0.484,11,32,0.344,11,15,0.733,12,46,58,27,7,8,11,17,114
10,1610612762,0021801076,"MAR 21, 2019",UTA @ ATL,L,42,30,0.583,240,43,94,0.457,10,32,0.313,18,26,0.692,14,35,49,25,12,3,15,24,114
11,1610612762,0021801068,"MAR 20, 2019",UTA @ NYK,W,42,29,0.592,240,48,85,0.565,20,42,0.476,21,25,0.84,7,33,40,38,7,3,10,18,137
12,1610612762,0021801051,"MAR 18, 2019",UTA @ WAS,W,41,29,0.586,240,49,91,0.538,14,37,0.378,4,6,0.667,7,34,41,35,10,8,17,21,116
13,1610612762,0021801041,"MAR 16, 2019",UTA vs. BKN,W,40,29,0.58,240,39,91,0.429,13,36,0.361,23,31,0.742,15,50,65,24,3,7,15,21,114
14,1610612762,0021801024,"MAR 14, 2019",UTA vs. MIN,W,39,29,0.574,240,44,89,0.494,13,38,0.342,19,27,0.704,13,36,49,30,7,8,11,20,120
15,1610612762,0021801019,"MAR 13, 2019",UTA @ PHX,W,38,29,0.567,240,42,90,0.467,12,33,0.364,18,25,0.72,12,40,52,30,8,4,12,22,114
16,1610612762,0021801005,"MAR 11, 2019",UTA vs. OKC,L,37,29,0.561,240,32,88,0.364,13,43,0.302,12,17,0.706,11,37,48,22,12,6,13,25,89
17,1610612762,0021800982,"MAR 08, 2019",UTA @ MEM,L,37,28,0.569,240,35,82,0.427,18,48,0.375,16,24,0.667,10,31,41,21,8,10,12,20,104
18,1610612762,0021800971,"MAR 06, 2019",UTA @ NOP,W,37,27,0.578,240,46,88,0.523,8,30,0.267,14,22,0.636,9,36,45,31,9,8,20,20,114
19,1610612762,0021800956,"MAR 04, 2019",UTA vs. NOP,L,36,27,0.571,240,43,92,0.467,14,38,0.368,12,14,0.857,13,34,47,35,3,6,18,17,112
20,1610612762,0021800943,"MAR 02, 2019",UTA vs. MIL,W,36,26,0.581,240,44,96,0.458,12,29,0.414,15,26,0.577,16,37,53,22,13,7,13,23,115
21,1610612762,0021800926,"FEB 28, 2019",UTA @ DEN,W,35,26,0.574,240,37,84,0.44,16,43,0.372,21,33,0.636,10,34,44,25,6,6,11,22,111
22,1610612762,0021800919,"FEB 27, 2019",UTA vs. LAC,W,34,26,0.567,240,38,92,0.413,11,34,0.324,24,32,0.75,14,42,56,22,9,12,16,23,111
23,1610612762,0021800893,"FEB 23, 2019",UTA vs. DAL,W,33,26,0.559,240,41,85,0.482,14,38,0.368,29,33,0.879,8,45,53,28,2,9,7,21,125
24,1610612762,0021800881,"FEB 22, 2019",UTA @ OKC,L,32,26,0.552,290,52,105,0.495,18,40,0.45,25,31,0.806,15,46,61,33,8,10,24,25,147
25,1610612762,0021800852,"FEB 12, 2019",UTA @ GSW,L,32,25,0.561,240,41,87,0.471,10,26,0.385,16,21,0.762,7,42,49,23,3,4,16,21,108
26,1610612762,0021800825,"FEB 09, 2019",UTA vs. SAS,W,32,24,0.571,240,47,90,0.522,16,41,0.39,15,20,0.75,9,43,52,29,7,3,11,17,125
27,1610612762,0021800808,"FEB 06, 2019",UTA vs. PHX,W,31,24,0.564,240,42,84,0.5,11,28,0.393,21,32,0.656,12,31,43,29,13,5,13,18,116
28,1610612762,0021800786,"FEB 02, 2019",UTA vs. HOU,L,30,24,0.556,240,31,86,0.36,11,41,0.268,25,36,0.694,14,37,51,19,8,9,20,21,98
29,1610612762,0021800773,"FEB 01, 2019",UTA vs. ATL,W,30,23,0.566,240,46,87,0.529,12,35,0.343,24,30,0.8,11,40,51,31,4,6,15,22,128
30,1610612762,0021800763,"JAN 30, 2019",UTA @ POR,L,29,23,0.558,240,38,85,0.447,11,34,0.324,18,21,0.857,8,28,36,24,9,4,16,22,105
31,1610612762,0021800740,"JAN 27, 2019",UTA @ MIN,W,29,22,0.569,240,46,86,0.535,15,39,0.385,18,25,0.72,6,30,36,30,8,5,9,17,125
32,1610612762,0021800729,"JAN 25, 2019",UTA vs. MIN,W,28,22,0.56,240,37,94,0.394,13,40,0.325,19,25,0.76,16,31,47,25,9,8,11,19,106
33,1610612762,0021800715,"JAN 23, 2019",UTA vs. DEN,W,27,22,0.551,240,38,88,0.432,19,46,0.413,19,27,0.704,12,28,40,28,7,7,13,20,114
34,1610612762,0021800700,"JAN 21, 2019",UTA vs. POR,L,26,22,0.542,240,36,91,0.396,7,33,0.212,25,31,0.806,13,35,48,21,5,8,15,19,104
35,1610612762,0021800675,"JAN 18, 2019",UTA vs. CLE,W,26,21,0.553,240,44,85,0.518,13,37,0.351,14,15,0.933,8,40,48,33,6,5,19,22,115
36,1610612762,0021800664,"JAN 16, 2019",UTA @ LAC,W,25,21,0.543,240,44,86,0.512,11,33,0.333,30,37,0.811,8,40,48,27,9,7,13,15,129
37,1610612762,0021800648,"JAN 14, 2019",UTA vs. DET,W,24,21,0.533,240,31,80,0.388,12,37,0.324,26,36,0.722,11,44,55,20,5,3,17,18,100
38,1610612762,0021800637,"JAN 12, 2019",UTA vs. CHI,W,23,21,0.523,240,38,88,0.432,16,45,0.356,18,25,0.72,10,42,52,23,6,11,13,18,110
39,1610612762,0021800627,"JAN 11, 2019",UTA vs. LAL,W,22,21,0.512,240,38,96,0.396,15,42,0.357,22,32,0.688,15,50,65,24,9,9,16,20,113
40,1610612762,0021800614,"JAN 09, 2019",UTA vs. ORL,W,21,21,0.5,240,41,84,0.488,12,33,0.364,12,14,0.857,4,40,44,24,5,3,13,20,106
41,1610612762,0021800594,"JAN 07, 2019",UTA @ MIL,L,20,21,0.488,240,36,86,0.419,14,37,0.378,16,23,0.696,11,35,46,20,6,6,15,21,102
42,1610612762,0021800577,"JAN 05, 2019",UTA @ DET,W,20,20,0.5,240,39,82,0.476,7,21,0.333,25,32,0.781,7,35,42,24,12,6,12,23,110
43,1610612762,0021800567,"JAN 04, 2019",UTA @ CLE,W,19,20,0.487,240,42,82,0.512,14,35,0.4,19,22,0.864,8,39,47,28,6,9,11,19,117
44,1610612762,0021800549,"JAN 01, 2019",UTA @ TOR,L,18,20,0.474,240,42,97,0.433,9,32,0.281,23,29,0.793,12,31,43,23,6,4,4,27,116
